0	0.33|0.67	0.33|0.67|0.00	0.33|0.67|0.00	0.33|0.67|0.00	0.33|0.67|0.00	0.33|0.67	0.33|0.67	0.33|0.67|0.00	0.33|0.67|0.00	0.33|0.67	
1	0.33|0.67	0.33|0.67|0.00	0.43|0.57|0.00	0.48|0.52|0.00	0.29|0.71|0.00	0.48|0.52	0.43|0.57	0.38|0.62|0.00	0.29|0.71|0.00	0.19|0.81	
2	0.33|0.67	0.48|0.52|0.00	0.52|0.48|0.00	0.48|0.52|0.00	0.29|0.71|0.00	0.57|0.43	0.29|0.71	0.43|0.57|0.00	0.24|0.76|0.00	0.05|0.95	
3	0.43|0.57	0.52|0.48|0.00	0.67|0.33|0.00	0.19|0.81|0.00	0.29|0.71|0.00	0.62|0.38	0.33|0.67	0.24|0.76|0.00	0.10|0.90|0.00	0.00|1.00	
4	0.43|0.57	0.38|0.62|0.00	0.67|0.33|0.00	0.19|0.81|0.00	0.14|0.86|0.00	0.57|0.43	0.38|0.62	0.33|0.67|0.00	0.14|0.86|0.00	0.00|1.00	
5	0.38|0.62	0.43|0.57|0.00	0.76|0.24|0.00	0.24|0.76|0.00	0.05|0.95|0.00	0.57|0.43	0.29|0.71	0.33|0.67|0.00	0.38|0.62|0.00	0.00|1.00	
6	0.38|0.62	0.33|0.67|0.00	0.67|0.33|0.00	0.19|0.81|0.00	0.00|1.00|0.00	0.76|0.24	0.24|0.76	0.19|0.81|0.00	0.38|0.62|0.00	0.00|1.00	
7	0.33|0.67	0.19|0.81|0.00	0.57|0.43|0.00	0.14|0.86|0.00	0.00|1.00|0.00	0.62|0.38	0.24|0.76	0.19|0.81|0.00	0.19|0.81|0.00	0.00|1.00	
8	0.33|0.67	0.14|0.86|0.00	0.57|0.43|0.00	0.10|0.90|0.00	0.00|1.00|0.00	0.38|0.62	0.29|0.71	0.19|0.81|0.00	0.05|0.95|0.00	0.00|1.00	
9	0.24|0.76	0.10|0.90|0.00	0.48|0.52|0.00	0.19|0.81|0.00	0.00|1.00|0.00	0.33|0.67	0.38|0.62	0.10|0.90|0.00	0.10|0.90|0.00	0.00|1.00	
10	0.24|0.76	0.05|0.95|0.00	0.57|0.43|0.00	0.05|0.95|0.00	0.00|1.00|0.00	0.38|0.62	0.38|0.62	0.14|0.86|0.00	0.05|0.95|0.00	0.00|1.00	
11	0.05|0.95	0.05|0.95|0.00	0.57|0.43|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.38|0.62	0.38|0.62	0.10|0.90|0.00	0.00|1.00|0.00	0.00|1.00	
12	0.00|1.00	0.05|0.95|0.00	0.48|0.52|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.38|0.62	0.38|0.62	0.05|0.95|0.00	0.00|1.00|0.00	0.00|1.00	
13	0.00|1.00	0.00|1.00|0.00	0.52|0.48|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.48|0.52	0.33|0.67	0.19|0.81|0.00	0.00|1.00|0.00	0.00|1.00	
14	0.00|1.00	0.00|1.00|0.00	0.38|0.62|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.43|0.57	0.43|0.57	0.10|0.90|0.00	0.00|1.00|0.00	0.00|1.00	
15	0.00|1.00	0.00|1.00|0.00	0.48|0.52|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.33|0.67	0.38|0.62	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
16	0.00|1.00	0.00|1.00|0.00	0.57|0.43|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.38|0.62	0.33|0.67	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
17	0.00|1.00	0.00|1.00|0.00	0.48|0.52|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.24|0.76	0.43|0.57	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
18	0.00|1.00	0.00|1.00|0.00	0.38|0.62|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.14|0.86	0.52|0.48	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
19	0.00|1.00	0.00|1.00|0.00	0.33|0.67|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.14|0.86	0.67|0.33	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
20	0.00|1.00	0.00|1.00|0.00	0.33|0.67|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.24|0.76	0.71|0.29	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
